,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC8000009105,80,2200,11273,0,0,11813,540,0,0,395,2000,2691,93.362,93.364,93.364,0,0,A1,T,M,1,2691,2691,16.688,16.688,16.688,395,2000,2691,2691,2691,16.682,16.688,16.688,2691,16.682,0,395,2000,0,0,79.6,2260,16.682,1.1,-1.1,L,0,0
MC8000009104,80,2200,11273,0,0,11813,540,0,0,395,2000,2691,93.362,93.364,93.364,0,0,A1,T,M,1,2691,2691,16.688,16.688,16.688,395,2000,2691,2691,2691,16.682,16.688,16.688,2691,16.682,0,395,2000,0,0,79.6,2260,16.682,1.1,-1.1,L,0,0
MC8000009103,30,2200,28200,0,0,29550,1350,0,0,395,2000,2515,93.679,93.678,93.678,0,0,A1,T,M,3,2515,2515,15.597,15.597,15.597,395,2000,2515,2515,2515,15.596,15.597,15.597,2515,15.596,0,395,2000,0,0,29.75,2260,15.596,0.8,-0.8,L,0,0
MC8000009102,30,2200,28200,0,0,29550,1350,0,0,395,2000,2515,93.679,93.678,93.678,0,0,A1,T,M,3,2515,2515,15.597,15.597,15.597,395,2000,2515,2515,2515,15.596,15.597,15.597,2515,15.596,0,395,2000,0,0,29.75,2260,15.596,0.8,-0.8,L,0,0
MC8000009101,30,2200,28200,0,0,29550,1350,0,0,395,2000,2515,93.679,93.678,93.678,0,0,A1,T,M,3,2515,2515,15.597,15.597,15.597,395,2000,2515,2515,2515,15.596,15.597,15.597,2515,15.596,0,395,2000,0,0,29.75,2260,15.596,0.8,-0.8,L,0,0
MC8000009100,35,2200,28200,0,0,29550,1350,0,0,395,2000,2938,93.566,93.566,93.566,0,0,A1,C,M,3,2938,2938,18.22,18.22,18.22,395,2000,2938,2938,2938,18.217,18.22,18.22,2938,18.217,0,395,2000,0,0,34.75,2260,18.218,0.8,-0.8,L,0,0
MC8000009099,35,2200,28200,0,0,29550,1350,0,0,395,2000,2938,93.566,93.566,93.566,0,0,A1,C,M,3,2938,2938,18.22,18.22,18.22,395,2000,2938,2938,2938,18.217,18.22,18.22,2938,18.217,0,395,2000,0,0,34.75,2260,18.218,0.8,-0.8,L,0,0
MC8000009098,40,2500,23560,0,0,24660,1100,0,0,395,2000,3177,93.887,93.888,93.888,0,0,A1,C,M,2,3177,3177,19.702,19.702,19.702,395,2000,3177,3177,3177,19.699,19.702,19.702,3177,19.699,0,395,2000,0,0,39.75,2560,19.699,0.8,-0.8,L,0,0
MC8000009097,40,2500,23560,0,0,24660,1100,0,0,395,2000,3177,93.887,93.888,93.888,0,0,A1,C,M,2,3177,3177,19.702,19.702,19.702,395,2000,3177,3177,3177,19.699,19.702,19.702,3177,19.699,0,395,2000,0,0,39.75,2560,19.699,0.8,-0.8,L,0,0
MC8000009096,40,2500,23560,0,0,24660,1100,0,0,395,2000,3177,93.887,93.888,93.888,0,0,A1,C,M,2,3177,3177,19.702,19.702,19.702,395,2000,3177,3177,3177,19.699,19.702,19.702,3177,19.699,0,395,2000,0,0,39.75,2560,19.699,0.8,-0.8,L,0,0
