,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC7000000625,30,2200,25500,0,0,26450,950,0,0,395,1800,2502,94.637,94.635,94.635,0,0,A1,C,M,3,2502,2502,13.965,13.965,13.965,395,1800,2502,2502,2502,13.961,13.965,13.965,2502,13.961,0,395,1800,0,0,29.75,2260,13.96,0.8,-0.8,L,0,0
MC8000003662,50,2200,25401,0,0,26351,950,0,0,395,2000,3747,94.402,94.401,94.401,0,0,A1,C,M,3,3747,3747,23.237,23.237,23.237,395,2000,3747,3747,3747,23.235,23.237,23.237,3747,23.235,0,395,2000,0,0,49.7,2260,23.234,0.9,-0.9,L,0,0
MC8000000342,30,2200,25200,0,0,26150,950,0,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,247,1800,0,0,29.75,2260,13.802,0.8,-0.8,L,0,0
MC8000000353,30,2200,25155,0,0,26105,950,0,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,247,1800,0,0,29.75,2260,13.778,0.8,-0.8,L,0,0
MC8000003817,45,2200,25050,0,0,26000,950,0,0,395,2000,3325,94.418,94.418,94.418,0,0,A1,T,M,3,3325,3325,20.62,20.62,20.62,395,2000,3325,3325,3325,20.619,20.62,20.62,3325,20.619,0,395,2000,0,0,44.7,2260,20.619,0.9,-0.9,L,0,0
MC8000003816,45,2200,25050,0,0,26000,950,0,0,395,2000,3325,94.418,94.418,94.418,0,0,A1,T,M,3,3325,3325,20.62,20.62,20.62,395,2000,3325,3325,3325,20.619,20.62,20.62,3325,20.619,0,395,2000,0,0,44.7,2260,20.619,0.9,-0.9,L,0,0
MC8000000386,30,2200,25050,0,0,26000,950,0,0,247,1800,3932,94.576,94.578,94.578,0,0,A1,C,M,3,3932,3932,13.723,13.723,13.723,247,1800,3932,3932,3932,13.722,13.723,13.723,3932,13.722,0,247,1800,0,0,29.75,2260,13.723,0.8,-0.8,L,0,0
MC8000000424,30,2200,25005,0,0,25955,950,0,0,247,1800,3926,94.57,94.569,94.569,0,0,A1,C,M,3,3926,3926,13.702,13.702,13.702,247,1800,3926,3926,3926,13.699,13.702,13.702,3926,13.699,0,247,1800,0,0,29.75,2260,13.699,0.8,-0.8,L,0,0
MC8000000423,30,2200,25005,0,0,25955,950,0,0,247,1800,3926,94.57,94.569,94.569,0,0,A1,C,M,3,3926,3926,13.702,13.702,13.702,247,1800,3926,3926,3926,13.699,13.702,13.702,3926,13.699,0,247,1800,0,0,29.75,2260,13.699,0.8,-0.8,L,0,0
MC8000000366,30,2200,24900,0,0,25850,950,0,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,247,1800,0,0,29.75,2260,13.643,0.8,-0.8,L,0,0
MC8000004045,40,2200,23486,0,0,24386,900,0,0,395,2000,2774,94.342,94.342,94.342,0,0,A1,C,M,2,2774,2774,17.203,17.203,17.203,395,2000,2774,2774,2774,17.197,17.203,17.203,2774,17.197,0,395,2000,0,0,39.75,2260,17.197,0.8,-0.8,L,0,0
MC8000003349,40,2200,23486,0,0,24386,900,0,0,395,2000,2774,94.342,94.342,94.342,0,0,A1,C,M,2,2774,2774,17.203,17.203,17.203,395,2000,2774,2774,2774,17.197,17.203,17.203,2774,17.197,0,395,2000,0,0,39.75,2260,17.197,0.8,-0.8,L,0,0
