,,,corect_length,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,roll_length,,,,,hcrop,tcrop,d_cut_width_i,
MC7000000611,130,2200,8908,0,395,1800,3799,94.332,94.33,94.33,0,0,A1,C,M,1,3799,3799,21.204,21.204,21.204,395,1800,3799,3799,3799,21.201,21.204,21.204,3799,21.201,0,0,395,1800,0,0,129.5,2260,9228,21.201,1.4,-1.4,L,0,0,0,0
MC7000000612,130,2200,8908,0,395,1800,3799,94.332,94.33,94.33,0,0,A1,C,M,1,3799,3799,21.204,21.204,21.204,395,1800,3799,3799,3799,21.201,21.204,21.204,3799,21.201,0,0,395,1800,0,0,129.5,2260,9228,21.201,1.4,-1.4,L,0,0,0,0
MC7000000613,130,2200,8908,0,395,1800,3799,94.332,94.33,94.33,0,0,A1,C,M,1,3799,3799,21.204,21.204,21.204,395,1800,3799,3799,3799,21.201,21.204,21.204,3799,21.201,0,0,395,1800,0,0,129.5,2260,9228,21.201,1.4,-1.4,L,0,0,0,0
MC7000000615,140,2600,6999,0,395,1800,3782,94.746,94.746,94.746,0,0,A1,C,M,1,3782,3782,21.109,21.109,21.109,395,1800,3782,3782,3782,21.108,21.109,21.109,3782,21.108,0,0,395,1800,0,0,139.45,2660,7249,21.108,1.6,-1.6,L,0,0,0,0
MC7000000616,140,2600,6999,0,395,1800,3782,94.746,94.746,94.746,0,0,A1,C,M,1,3782,3782,21.109,21.109,21.109,395,1800,3782,3782,3782,21.108,21.109,21.109,3782,21.108,0,0,395,1800,0,0,139.45,2660,7249,21.108,1.6,-1.6,L,0,0,0,0
MC7000000617,140,2600,6999,0,395,1800,3782,94.746,94.746,94.746,0,0,A1,C,M,1,3782,3782,21.109,21.109,21.109,395,1800,3782,3782,3782,21.108,21.109,21.109,3782,21.108,0,0,395,1800,0,0,139.45,2660,7249,21.108,1.6,-1.6,L,0,0,0,0
MC7000000618,140,2200,8271,0,395,1800,3810,94.055,94.055,94.055,0,0,A1,C,M,1,3810,3810,21.265,21.265,21.265,395,1800,3810,3810,3810,21.262,21.265,21.265,3810,21.262,0,0,395,1800,0,0,139.5,2260,8591,21.262,1.4,-1.4,L,0,0,0,0
MC7000000619,140,2200,8271,0,395,1800,3810,94.055,94.055,94.055,0,0,A1,C,M,1,3810,3810,21.265,21.265,21.265,395,1800,3810,3810,3810,21.262,21.265,21.265,3810,21.262,0,0,395,1800,0,0,139.5,2260,8591,21.262,1.4,-1.4,L,0,0,0,0
MC7000000620,140,2200,8271,0,395,1800,3810,94.055,94.055,94.055,0,0,A1,C,M,1,3810,3810,21.265,21.265,21.265,395,1800,3810,3810,3810,21.262,21.265,21.265,3810,21.262,0,0,395,1800,0,0,139.5,2260,8591,21.262,1.4,-1.4,L,0,0,0,0
MC7000000621,140,2200,8271,0,395,1800,3810,94.055,94.055,94.055,0,0,A1,C,M,1,3810,3810,21.265,21.265,21.265,395,1800,3810,3810,3810,21.262,21.265,21.265,3810,21.262,0,0,395,1800,0,0,139.5,2260,8591,21.262,1.4,-1.4,L,0,0,0,0
MC7000000622,60,3000,11000,1,395,1800,3050,93.762,91.306,91.306,0,0,A1,C,M,1,3050,3050,17.023,17.023,17.023,395,1800,3050,3050,3050,17.023,17.023,17.023,2971,16.577,1,3050,395,1800,0,0,59.65,3100,11420,16.577,1.1,-1.1,L,0,0,0,0
MC7000000623,65,2800,12000,1,395,1800,3300,93.711,93.083,93.083,0,0,A1,C,M,1,3300,3300,18.418,18.418,18.418,395,1800,3300,3300,3300,18.418,18.418,18.418,3278,18.295,1,3300,395,1800,0,0,64.55,2900,12450,18.295,1.3,-1.3,L,0,0,0,0
MC7000000625,30,2200,25500,0,395,1800,2502,94.637,94.635,94.635,0,0,A1,C,M,3,2502,2502,13.965,13.965,13.965,395,1800,2502,2502,2502,13.961,13.965,13.965,2502,13.961,0,0,395,1800,0,0,29.75,2260,26450,13.96,0.8,-0.8,L,0,0,0,0
MC7000000626,30,2200,25500,0,395,1800,2502,94.637,94.635,94.635,0,0,A1,C,M,3,2502,2502,13.965,13.965,13.965,395,1800,2502,2502,2502,13.961,13.965,13.965,2502,13.961,0,0,395,1800,0,0,29.75,2260,26450,13.96,0.8,-0.8,L,0,0,0,0
MC7000000627,60,2200,20000,0,395,1800,3929,94.526,94.527,94.527,0,0,A1,C,M,2,3929,3929,21.929,21.929,21.929,395,1800,3929,3929,3929,21.924,21.929,21.929,3929,21.924,0,0,395,1800,0,0,59.7,2260,20700,21.924,0.9,-0.9,L,0,0,0,0
MC7000000628,60,2200,20000,0,395,1800,3929,94.526,94.527,94.527,0,0,A1,C,M,2,3929,3929,21.929,21.929,21.929,395,1800,3929,3929,3929,21.924,21.929,21.929,3929,21.924,0,0,395,1800,0,0,59.7,2260,20700,21.924,0.9,-0.9,L,0,0,0,0
MC7000000629,60,2200,20000,0,395,1800,3929,94.526,94.527,94.527,0,0,A1,C,M,2,3929,3929,21.929,21.929,21.929,395,1800,3929,3929,3929,21.924,21.929,21.929,3929,21.924,0,0,395,1800,0,0,59.7,2260,20700,21.924,0.9,-0.9,L,0,0,0,0
MC7000000630,60,2200,19300,0,395,1800,3796,94.41,94.411,94.411,0,0,A1,C,M,2,3796,3796,21.187,21.187,21.187,395,1800,3796,3796,3796,21.183,21.187,21.187,3796,21.183,0,0,395,1800,0,0,59.7,2260,20000,21.183,0.9,-0.9,L,0,0,0,0
MC7000000631,60,2200,19300,0,395,1800,3796,94.41,94.411,94.411,0,0,A1,C,M,2,3796,3796,21.187,21.187,21.187,395,1800,3796,3796,3796,21.183,21.187,21.187,3796,21.183,0,0,395,1800,0,0,59.7,2260,20000,21.183,0.9,-0.9,L,0,0,0,0
MC7000000632,60,2200,19300,0,395,1800,3796,94.41,94.411,94.411,0,0,A1,C,M,2,3796,3796,21.187,21.187,21.187,395,1800,3796,3796,3796,21.183,21.187,21.187,3796,21.183,0,0,395,1800,0,0,59.7,2260,20000,21.183,0.9,-0.9,L,0,0,0,0
MC7000000633,60,2200,20000,0,395,1800,3796,97.834,97.833,97.833,0,0,A1,C,M,2,3796,3796,21.187,21.187,21.187,395,1800,3796,3796,3796,21.183,21.187,21.187,3796,21.183,0,0,395,1800,0,0,59.7,2260,20000,21.183,0.9,-0.9,L,0,0,0,0
MC7000000634,60,3000,11500,0,395,1800,3108,93.676,93.676,93.676,0,0,A1,C,M,1,3108,3108,17.347,17.347,17.347,395,1800,3108,3108,3108,17.347,17.347,17.347,3108,17.347,0,0,395,1800,0,0,59.65,3100,11950,17.346,1.1,-1.1,L,0,0,0,0
MC7000000635,55,2200,17546,0,395,1800,3164,94.383,94.382,94.382,0,0,A1,C,M,2,3164,3164,17.659,17.659,17.659,395,1800,3164,3164,3164,17.658,17.659,17.659,3164,17.658,0,0,395,1800,0,0,54.7,2260,18196,17.658,0.9,-0.9,L,0,0,0,0
MC7000000636,55,2200,17546,0,395,1800,3164,94.383,94.382,94.382,0,0,A1,C,M,2,3164,3164,17.659,17.659,17.659,395,1800,3164,3164,3164,17.658,17.659,17.659,3164,17.658,0,0,395,1800,0,0,54.7,2260,18196,17.658,0.9,-0.9,L,0,0,0,0
MC7000000637,55,2200,17546,0,395,1800,3164,94.383,94.382,94.382,0,0,A1,C,M,2,3164,3164,17.659,17.659,17.659,395,1800,3164,3164,3164,17.658,17.659,17.659,3164,17.658,0,0,395,1800,0,0,54.7,2260,18196,17.658,0.9,-0.9,L,0,0,0,0
