,,,corect_length,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,roll_length,len_crop,,,,,hcrop,tcrop,d_cut_width_i,
MC7000000595,105,2200,10300,0,395,1800,3561,93.979,93.977,93.977,0,0,A1,C,M,1,3561,3561,19.875,19.875,19.875,395,1800,3561,3561,3561,19.875,19.875,19.875,3561,19.875,0,0,395,1800,0,0,104.5,2260,10720,420,19.874,1.4,-1.4,L,0,0,0,0
MC7000000596,105,2200,10300,0,395,1800,3561,93.979,93.977,93.977,0,0,A1,C,M,1,3561,3561,19.875,19.875,19.875,395,1800,3561,3561,3561,19.875,19.875,19.875,3561,19.875,0,0,395,1800,0,0,104.5,2260,10720,420,19.874,1.4,-1.4,L,0,0,0,0
MC7000000597,105,2200,10300,0,395,1800,3561,93.979,93.977,93.977,0,0,A1,C,M,1,3561,3561,19.875,19.875,19.875,395,1800,3561,3561,3561,19.875,19.875,19.875,3561,19.875,0,0,395,1800,0,0,104.5,2260,10720,420,19.874,1.4,-1.4,L,0,0,0,0
MC7000000622,60,3000,11000,1,395,1800,3050,93.762,91.306,91.306,0,0,A1,C,M,1,3050,3050,17.023,17.023,17.023,395,1800,3050,3050,3050,17.023,17.023,17.023,2971,16.577,1,3050,395,1800,0,0,59.65,3100,11420,420,16.577,1.1,-1.1,L,0,0,0,0
MC7000000642,80,3000,10615,0,395,1800,3828,93.617,93.615,93.615,0,0,A1,C,M,1,3828,3828,21.365,21.365,21.365,395,1800,3828,3828,3828,21.363,21.365,21.365,3828,21.363,0,0,395,1800,0,0,79.55,3100,11035,420,21.362,1.3,-1.3,L,0,0,0,0
MC7000000643,80,3000,10615,0,395,1800,3828,93.617,93.615,93.615,0,0,A1,C,M,1,3828,3828,21.365,21.365,21.365,395,1800,3828,3828,3828,21.363,21.365,21.365,3828,21.363,0,0,395,1800,0,0,79.55,3100,11035,420,21.362,1.3,-1.3,L,0,0,0,0
MC7000000649,80,3000,10615,0,395,1800,3828,93.617,93.615,93.615,0,0,A1,C,M,1,3828,3828,21.365,21.365,21.365,395,1800,3828,3828,3828,21.363,21.365,21.365,3828,21.363,0,0,395,1800,0,0,79.55,3100,11035,420,21.362,1.3,-1.3,L,0,0,0,0
MC7000000650,80,3000,10615,0,395,1800,3828,93.617,93.615,93.615,0,0,A1,C,M,1,3828,3828,21.365,21.365,21.365,395,1800,3828,3828,3828,21.363,21.365,21.365,3828,21.363,0,0,395,1800,0,0,79.55,3100,11035,420,21.362,1.3,-1.3,L,0,0,0,0
MC7000000663,120,2200,10100,0,395,2000,3597,93.85,93.848,93.848,0,0,A1,C,M,1,3597,3597,22.307,22.307,22.307,395,2000,3597,3597,3597,22.303,22.307,22.307,3597,22.303,0,0,395,2000,0,0,119.5,2260,10520,420,22.303,1.4,-1.4,L,0,0,0,0
MC8000000021,85,2200,10395,0,395,1800,2909,94.007,94.006,94.006,0,0,A1,C,M,1,2909,2909,16.236,16.236,16.236,395,1800,2909,2909,2909,16.232,16.236,16.236,2909,16.232,0,0,395,1800,0,0,84.6,2260,10815,420,16.232,1.1,-1.1,L,0,0,0,0
MC8000000039,110,2200,10833,0,395,1800,3917,94.14,94.14,94.14,0,0,A1,C,M,1,3917,3917,21.862,21.862,21.862,395,1800,3917,3917,3917,21.86,21.862,21.862,3917,21.86,0,0,395,1800,0,0,109.5,2260,11253,420,21.861,1.4,-1.4,L,0,0,0,0
MC8000000105,80,2200,10374,0,395,1800,2732,94.028,94.03,94.03,0,0,A1,C,M,1,2732,2732,15.248,15.248,15.248,395,1800,2732,2732,2732,15.243,15.248,15.248,2732,15.243,0,0,395,1800,0,0,79.6,2260,10794,420,15.243,1.1,-1.1,L,0,0,0,0
MC8000000106,80,2200,10374,0,395,1800,2732,94.028,94.03,94.03,0,0,A1,C,M,1,2732,2732,15.248,15.248,15.248,395,1800,2732,2732,2732,15.243,15.248,15.248,2732,15.243,0,0,395,1800,0,0,79.6,2260,10794,420,15.243,1.1,-1.1,L,0,0,0,0
MC8000000107,80,2200,10374,0,395,1800,2732,94.028,94.03,94.03,0,0,A1,C,M,1,2732,2732,15.248,15.248,15.248,395,1800,2732,2732,2732,15.243,15.248,15.248,2732,15.243,0,0,395,1800,0,0,79.6,2260,10794,420,15.243,1.1,-1.1,L,0,0,0,0
MC8000000111,80,2600,10331,0,395,1800,3200,94.457,94.456,94.456,0,0,A1,C,M,1,3200,3200,17.86,17.86,17.86,395,1800,3200,3200,3200,17.858,17.86,17.86,3200,17.858,0,0,395,1800,0,0,79.55,2660,10751,420,17.858,1.3,-1.3,L,0,0,0,0
MC8000000112,80,2600,10331,0,395,1800,3200,94.457,94.456,94.456,0,0,A1,C,M,1,3200,3200,17.86,17.86,17.86,395,1800,3200,3200,3200,17.858,17.86,17.86,3200,17.858,0,0,395,1800,0,0,79.55,2660,10751,420,17.858,1.3,-1.3,L,0,0,0,0
MC8000000234,100,2500,10814,0,395,2000,3626,94.383,94.383,94.383,0,0,A1,C,M,1,3626,3626,22.487,22.487,22.487,395,2000,3626,3626,3626,22.485,22.487,22.487,3626,22.485,0,0,395,2000,0,0,99.6,2560,11234,420,22.486,1.1,-1.1,L,0,0,0,0
